verb,noun,item,n_kwics,coll_freq,logDice,usage,noun_concreteness,noun_synset_len,verb_synset_len,snd3,snd10,snd25,snd50,queried_by_verb,queried_by_noun,n_nouns_for_verb,n_verbs_for_noun
drain,can,drain can,100,958,5.79,drained 1 can,4.55,6,4,58.316,89.046,104.16,112.97,0,1,6,83
drain,fluid,drain fluid,100,5680,8.27,drain the fluid,4.73,2,4,107.21,168.71,197.48,212.55,0,1,6,88
drain,glass,drain glass,100,2063,5.73,drained his glass,4.82,7,4,149.6,219.89,246.25,262.92,0,1,6,92
drain,oil,drain oil,100,6015,6.86,drain the oil,4.93,4,4,116.09,174.9,208.49,229.11,0,1,6,97
drain,water,drain water,100,17810,7.07,drain the water,5.0,6,4,232.15,324.2,362.8,390.59,0,1,6,97
draw,attention,draw attention,100,359386,10.53,draw attention,2.3,6,36,133.07,191.66,213.39,223.75,0,1,31,96
draw,axe,draw axe,100,Not found,Not found,Not found,5.0,1,36,40.835,66.546,80.921,90.326,0,1,31,40
draw,bead,draw bead,100,Not found,Not found,Not found,4.9,3,36,78.865,116.76,135.58,146.95,0,1,31,74
draw,blood,draw blood,100,38060,8.05,draw blood,4.86,5,36,132.86,194.1,218.83,232.67,0,1,31,97
draw,board,draw board,100,25009,7.29,back to the drawing board,4.57,9,36,187.08,278.44,317.8,338.2,0,1,31,93
draw,breath,draw breath,100,21237,7.26,draw breath,4.36,5,36,72.307,105.92,123.28,131.92,0,1,31,85
draw,controversy,draw controversy,100,Not found,Not found,Not found,2.29,1,36,146.19,222.23,259.61,281.54,0,1,31,84
draw,dissent,draw dissent,100,Not found,Not found,Not found,2.17,3,36,65.304,91.841,101.36,107.56,0,1,31,45
draw,eye,draw eye,100,28496,6.93,draw the eye,4.9,5,36,206.15,312.42,361.23,392.48,0,1,31,96
draw,face,draw face,100,9251,5.72,face drawn,4.87,13,36,234.58,343.73,395.03,428.46,0,1,31,97
draw,flame,draw flame,100,Not found,Not found,Not found,4.67,1,36,93.561,139.75,160.47,173.35,0,1,31,81
draw,fluid,draw fluid,100,Not found,Not found,Not found,4.73,2,36,107.21,168.71,197.48,212.55,0,1,31,88
draw,fury,draw fury,100,Not found,Not found,Not found,2.89,4,36,78.211,122.7,138.28,147.9,0,1,31,27
draw,gate,draw gate,100,Not found,Not found,Not found,4.96,4,36,143.81,229.28,265.02,282.2,0,1,31,91
draw,hand,draw hand,100,21132,6.35,hand drawn,4.72,14,36,269.2,382.64,427.86,454.46,0,1,31,96
draw,image,draw image,100,14768,5.89,images drawn,3.85,9,36,179.93,316.21,370.25,403.89,0,1,31,95
draw,leg,draw leg,100,Not found,Not found,Not found,4.83,9,36,134.48,212.33,256.38,294.07,0,1,31,97
draw,line,draw line,100,208816,9.58,draw the line,4.5,30,36,253.42,357.41,397.32,421.22,0,1,31,98
draw,picture,draw picture,100,51444,7.83,draw a picture,4.52,10,36,124.67,237.09,298.33,333.94,0,1,31,97
draw,plan,draw plan,100,19596,6.15,plans drawn,3.4,3,36,144.41,259.22,311.43,339.79,0,1,31,97
draw,player,draw player,100,5806,4.61,draw players,4.15,5,36,226.69,338.56,382.77,407.1,0,1,31,94
draw,pose,draw pose,100,Not found,Not found,Not found,3.33,3,36,12.162,16.888,18.741,19.754,0,1,31,54
draw,resentment,draw resentment,100,Not found,Not found,Not found,1.78,1,36,65.466,105.55,126.74,139.17,0,1,31,51
draw,scene,draw scene,100,Not found,Not found,Not found,3.93,10,36,236.31,326.09,358.85,376.01,0,1,31,95
draw,smile,draw smile,100,Not found,Not found,Not found,4.5,1,36,103.53,159.95,184.24,198.92,0,1,31,85
draw,steel,draw steel,100,Not found,Not found,Not found,4.87,3,36,98.555,155.27,193.79,217.4,0,1,31,76
draw,talent,draw talent,100,Not found,Not found,Not found,2.19,2,36,149.46,215.84,243.88,261.1,0,1,31,94
draw,thread,draw thread,100,Not found,Not found,Not found,4.83,4,36,107.65,151.12,168.96,178.79,0,1,31,94
draw,voter,draw voter,100,Not found,Not found,Not found,3.93,1,36,113.27,163.03,184.22,197.0,0,1,31,88
draw,water,draw water,100,26024,6.77,draw water,5.0,6,36,232.15,324.2,362.8,390.59,0,1,31,97
draw,winner,draw winner,100,Not found,Not found,Not found,3.21,3,36,161.86,268.28,315.83,341.99,0,1,31,92
dream,dream,dream dream,100,19270,8.82,dream dreams,2.6,6,2,147.1,213.55,239.31,254.22,0,1,1,93
dress,infant,dress infant,100,Not found,Not found,Not found,4.93,1,16,95.378,142.86,165.46,180.78,0,1,3,71
dress,stone,dress stone,100,2193,5.8,dressed stone,4.72,13,16,159.19,242.89,279.87,302.48,0,1,3,91
dress,window,dress window,100,3069,5.37,window dressed in,4.86,8,16,140.8,244.66,291.16,317.16,0,1,3,95
dribble,ball,dribble ball,100,4413,6.21,dribble the ball,5.0,12,4,152.85,224.94,253.8,268.96,0,1,1,99
drill,oil,drill oil,100,2282,5.48,drill oil,4.93,4,5,116.09,174.9,208.49,229.11,0,1,1,97
drink,beer,drink beer,100,57513,10.13,drinking beer,4.88,1,5,74.267,130.5,169.11,196.91,0,1,9,93
drink,blood,drink blood,100,19386,8.32,drink the blood,4.86,5,5,132.86,194.1,218.83,232.67,0,1,9,97
drink,can,drink can,100,2373,5.83,drinking a can,4.55,6,5,58.316,89.046,104.16,112.97,0,1,9,83
drink,fluid,drink fluid,100,5085,6.89,drink fluids,4.73,2,5,107.21,168.71,197.48,212.55,0,1,9,88
drink,glass,drink glass,100,23070,8.52,drink a glass,4.82,7,5,149.6,219.89,246.25,262.92,0,1,9,92
drink,milk,drink milk,100,24887,9.01,drink milk,4.92,4,5,85.509,138.38,171.6,192.28,0,1,9,95
drink,mixture,drink mixture,100,1368,4.79,drink the mixture,3.79,5,5,173.87,303.73,353.4,380.67,0,1,9,93
drink,tea,drink tea,100,43056,9.85,drink tea,4.69,5,5,72.271,138.59,176.5,199.08,0,1,9,89
drink,water,drink water,100,182313,10.19,drinking water,5.0,6,5,232.15,324.2,362.8,390.59,0,1,9,97
drip,blood,drip blood,100,4713,7.36,dripping blood,4.86,5,2,132.86,194.1,218.83,232.67,0,1,1,97
drive,agenda,drive agenda,100,10630,6.0,agenda driven,2.66,2,22,133.95,192.96,217.15,230.81,0,1,37,93
drive,army,drive army,100,Not found,Not found,Not found,4.7,3,22,127.38,213.56,259.99,294.17,0,1,37,96
drive,attention,drive attention,100,Not found,Not found,Not found,2.3,6,22,133.07,191.66,213.39,223.75,0,1,37,96
drive,ball,drive ball,100,10505,5.67,drive the ball,5.0,12,22,152.85,224.94,253.8,268.96,0,1,37,99
drive,ban,drive ban,100,Not found,Not found,Not found,2.37,5,22,108.72,169.3,203.52,222.15,0,1,37,92
drive,boat,drive boat,100,Not found,Not found,Not found,4.93,2,22,139.06,231.66,280.03,308.1,0,1,37,97
drive,campaign,drive campaign,100,Not found,Not found,Not found,3.0,4,22,234.82,326.5,365.57,390.31,0,1,37,93
drive,car,drive car,100,220243,9.66,driving a car,4.89,5,22,146.58,271.86,328.14,362.93,0,1,37,98
drive,change,drive change,100,58610,7.37,drive change,2.89,10,22,169.83,260.43,300.98,324.77,0,1,37,97
drive,competition,drive competition,100,Not found,Not found,Not found,3.86,4,22,146.29,235.72,281.35,307.68,0,1,37,90
drive,conversation,drive conversation,100,Not found,Not found,Not found,3.28,1,22,166.81,255.38,299.17,324.56,0,1,37,98
drive,crisis,drive crisis,100,Not found,Not found,Not found,2.33,2,22,139.99,213.55,249.27,271.87,0,1,37,89
drive,darkness,drive darkness,100,Not found,Not found,Not found,3.85,6,22,114.39,168.09,194.04,209.34,0,1,37,78
drive,debate,drive debate,100,Not found,Not found,Not found,3.18,2,22,184.93,291.91,338.79,365.58,0,1,37,94
drive,discussion,drive discussion,100,Not found,Not found,Not found,3.07,2,22,180.21,295.44,351.36,377.72,0,1,37,98
drive,disease,drive disease,100,Not found,Not found,Not found,3.45,1,22,102.9,195.33,244.79,273.82,0,1,37,93
drive,enemy,drive enemy,100,Not found,Not found,Not found,2.83,4,22,148.22,227.71,259.5,276.9,0,1,37,96
drive,fear,drive fear,100,Not found,Not found,Not found,2.57,3,22,208.48,300.15,342.67,365.02,0,1,37,97
drive,gate,drive gate,100,Not found,Not found,Not found,4.96,4,22,143.81,229.28,265.02,282.2,0,1,37,91
drive,habit,drive habit,100,Not found,Not found,Not found,2.76,6,22,124.43,184.5,207.67,221.79,0,1,37,85
drive,hip,drive hip,100,Not found,Not found,Not found,4.21,5,22,90.411,129.73,157.16,172.63,0,1,37,91
drive,history,drive history,100,Not found,Not found,Not found,2.96,5,22,244.12,342.42,382.02,402.74,0,1,37,98
drive,load,drive load,100,Not found,Not found,Not found,3.63,9,22,139.13,209.14,235.35,251.18,0,1,37,98
drive,momentum,drive momentum,100,Not found,Not found,Not found,2.5,2,22,79.992,112.44,123.59,129.88,0,1,37,89
drive,passion,drive passion,100,Not found,Not found,Not found,2.3,7,22,119.78,201.4,232.88,253.47,0,1,37,95
drive,profit,drive profit,100,Not found,Not found,Not found,3.07,2,22,59.81,135.58,177.33,201.82,0,1,37,95
drive,project,drive project,100,11162,5.12,driven projects,3.62,2,22,170.17,284.97,344.87,374.52,0,1,37,90
drive,rock,drive rock,100,Not found,Not found,Not found,4.91,7,22,225.91,320.78,360.6,382.06,0,1,37,90
drive,skill,drive skill,100,11803,5.49,driving skills,2.17,2,22,158.2,237.46,270.14,289.39,0,1,37,86
drive,spaceship,drive spaceship,100,Not found,Not found,Not found,4.48,1,22,50.609,75.493,87.215,94.3,0,1,37,19
drive,spending,drive spending,100,Not found,Not found,Not found,3.31,2,22,78.229,122.43,144.17,157.7,0,1,37,91
drive,story,drive story,100,11397,4.96,story driven,3.3,6,22,197.18,328.22,376.06,402.62,0,1,37,98
drive,success,drive success,100,14097,6.04,drive success,2.21,4,22,194.18,295.66,331.23,349.41,0,1,37,97
drive,tale,drive tale,100,Not found,Not found,Not found,3.23,2,22,178.08,277.38,316.31,343.61,0,1,37,91
drive,terrorist,drive terrorist,100,Not found,Not found,Not found,3.64,1,22,85.007,132.96,160.49,178.63,0,1,37,90
drive,vehicle,drive vehicle,100,66778,8.3,driving a vehicle,4.64,4,22,135.77,243.43,288.48,318.05,0,1,37,95
drive,voter,drive voter,100,Not found,Not found,Not found,3.93,1,22,113.27,163.03,184.22,197.0,0,1,37,88
drizzle,oil,drizzle oil,100,2803,6.03,drizzle olive oil,4.93,4,2,116.09,174.9,208.49,229.11,0,1,1,97
drop,anchor,drop anchor,100,9980,7.3,dropped anchor,4.77,3,23,96.973,139.06,152.3,158.34,0,1,31,65
drop,axe,drop axe,100,Not found,Not found,Not found,5.0,1,23,40.835,66.546,80.921,90.326,0,1,31,40
drop,ball,drop ball,100,37948,8.33,dropped the ball,5.0,12,23,152.85,224.94,253.8,268.96,0,1,31,99
drop,balloon,drop balloon,100,Not found,Not found,Not found,4.92,2,23,82.715,117.6,132.65,140.92,0,1,31,83
drop,ban,drop ban,100,Not found,Not found,Not found,2.37,5,23,108.72,169.3,203.52,222.15,0,1,31,92
drop,basket,drop basket,100,Not found,Not found,Not found,5.0,4,23,92.968,137.82,159.48,172.87,0,1,31,88
drop,bead,drop bead,100,Not found,Not found,Not found,4.9,3,23,78.865,116.76,135.58,146.95,0,1,31,74
drop,bomb,drop bomb,100,60227,9.67,dropping bombs,4.84,3,23,82.168,128.66,156.09,175.26,0,1,31,87
drop,can,drop can,100,Not found,Not found,Not found,4.55,6,23,58.316,89.046,104.16,112.97,0,1,31,83
drop,charge,drop charge,100,37689,8.38,charges were dropped,2.96,15,23,190.91,262.88,290.47,306.26,0,1,31,93
drop,egg,drop egg,100,Not found,Not found,Not found,4.97,3,23,124.85,178.59,202.35,217.95,0,1,31,97
drop,ego,drop ego,100,Not found,Not found,Not found,1.74,3,23,71.854,105.1,119.65,127.07,0,1,31,72
drop,eye,drop eye,100,4302,4.61,dropped his eyes,4.9,5,23,206.15,312.42,361.23,392.48,0,1,31,96
drop,glass,drop glass,100,Not found,Not found,Not found,4.82,7,23,149.6,219.89,246.25,262.92,0,1,31,92
drop,grudge,drop grudge,100,Not found,Not found,Not found,2.14,1,23,37.542,64.04,72.485,76.267,0,1,31,11
drop,habit,drop habit,100,Not found,Not found,Not found,2.76,6,23,124.43,184.5,207.67,221.79,0,1,31,85
drop,hand,drop hand,100,10220,5.66,dropped his hand,4.72,14,23,269.2,382.64,427.86,454.46,0,1,31,96
drop,hint,drop hint,100,15554,7.79,dropping hints,2.33,5,23,145.16,208.15,236.51,250.97,0,1,31,89
drop,hip,drop hip,100,Not found,Not found,Not found,4.21,5,23,90.411,129.73,157.16,172.63,0,1,31,91
drop,idea,drop idea,100,8451,4.86,dropped the idea,1.61,5,23,186.11,292.47,339.77,365.76,0,1,31,99
drop,kiss,drop kiss,100,Not found,Not found,Not found,4.48,4,23,79.436,123.41,140.16,149.2,0,1,31,62
drop,line,drop line,100,13304,5.94,drop a line,4.5,30,23,253.42,357.41,397.32,421.22,0,1,31,98
drop,load,drop load,100,4351,5.63,drop a load,3.63,9,23,139.13,209.14,235.35,251.18,0,1,31,98
drop,nonsense,drop nonsense,100,Not found,Not found,Not found,2.38,2,23,61.401,95.296,109.2,118.44,0,1,31,73
drop,phone,drop phone,100,7097,6.14,dropped the phone,4.86,3,23,132.03,200.44,232.92,254.36,0,1,31,97
drop,pill,drop pill,100,Not found,Not found,Not found,4.72,5,23,68.926,102.91,117.35,126.85,0,1,31,86
drop,plan,drop plan,100,8750,5.32,dropped plans,3.4,3,23,144.41,259.22,311.43,339.79,0,1,31,97
drop,pose,drop pose,100,Not found,Not found,Not found,3.33,3,23,12.162,16.888,18.741,19.754,0,1,31,54
drop,rock,drop rock,100,Not found,Not found,Not found,4.91,7,23,225.91,320.78,360.6,382.06,0,1,31,90
drop,stone,drop stone,100,Not found,Not found,Not found,4.72,13,23,159.19,242.89,279.87,302.48,0,1,31,91
drop,weight,drop weight,100,9323,6.37,drop weight,3.94,8,23,136.57,203.08,229.71,245.41,0,1,31,97
dry,blood,dry blood,100,8971,7.52,dried blood,4.86,5,2,132.86,194.1,218.83,232.67,0,1,8,97
dry,fish,dry fish,100,6778,6.99,dried fish,5.0,4,2,164.99,237.0,271.35,292.14,0,1,8,98
dry,food,dry food,100,7153,5.8,dried food,4.8,3,2,169.07,241.2,280.07,303.04,0,1,8,97
dry,hair,dry hair,100,13165,7.68,dry your hair,4.97,6,2,145.81,211.36,244.64,264.55,0,1,8,99
dry,milk,dry milk,100,1769,5.61,dried milk,4.92,4,2,85.509,138.38,171.6,192.28,0,1,8,95
dry,oil,dry oil,100,2291,5.15,drying oil,4.93,4,2,116.09,174.9,208.49,229.11,0,1,8,97
dry,skin,dry skin,100,8836,7.27,dry skin,4.79,6,2,169.4,240.84,276.4,299.07,0,1,8,97
dry,throat,dry throat,100,Not found,Not found,Not found,4.97,4,2,78.256,118.6,144.46,163.8,0,1,8,82
dump,blame,dump blame,100,Not found,Not found,Not found,2.06,2,6,57.303,82.246,91.476,96.689,0,1,6,56
dump,can,dump can,100,Not found,Not found,Not found,4.55,6,6,58.316,89.046,104.16,112.97,0,1,6,83
dump,ground,dump ground,100,16148,8.08,a dumping ground for,4.77,11,6,207.06,291.84,324.49,350.64,0,1,6,89
dump,load,dump load,100,4587,6.83,dumped a load,3.63,9,6,139.13,209.14,235.35,251.18,0,1,6,98
dump,milk,dump milk,100,1121,5.45,dumping milk,4.92,4,6,85.509,138.38,171.6,192.28,0,1,6,95
dump,tea,dump tea,100,Not found,Not found,Not found,4.69,5,6,72.271,138.59,176.5,199.08,0,1,6,89
dye,egg,dye egg,100,2136,6.24,dyed eggs,4.97,3,1,124.85,178.59,202.35,217.95,0,1,2,97
dye,hair,dye hair,100,19259,8.74,dyed hair,4.97,6,1,145.81,211.36,244.64,264.55,0,1,2,99
earmark,fund,earmark fund,100,6426,6.52,funds earmarked for,3.18,3,1,147.28,207.45,229.19,247.48,0,1,1,94
earn,attention,earn attention,100,Not found,Not found,Not found,2.3,6,2,133.07,191.66,213.39,223.75,0,1,14,96
earn,chance,earn chance,100,Not found,Not found,Not found,1.64,5,2,145.16,211.81,236.5,250.46,0,1,14,97
earn,confidence,earn confidence,100,Not found,Not found,Not found,2.17,5,2,114.6,160.91,178.32,187.72,0,1,14,95
earn,contract,earn contract,100,Not found,Not found,Not found,4.15,3,2,157.64,239.45,272.05,289.2,0,1,14,93
earn,living,earn living,100,68578,9.37,to earn a living,3.04,4,2,118.05,167.4,183.13,190.2,0,1,14,68
earn,money,earn money,100,188719,9.34,earn money,4.54,3,2,103.44,164.62,189.47,205.68,0,1,14,97
earn,position,earn position,100,6675,5.02,earned a position,2.62,16,2,229.38,325.34,362.4,380.34,0,1,14,96
earn,potential,earn potential,100,8216,5.86,earning potential,1.91,2,2,154.16,221.87,249.35,265.29,0,1,14,97
earn,pride,earn pride,100,Not found,Not found,Not found,1.66,5,2,105.29,146.53,161.59,171.11,0,1,14,84
earn,profit,earn profit,100,27448,7.89,earn a profit,3.07,2,2,59.81,135.58,177.33,201.82,0,1,14,95
earn,reputation,earn reputation,100,44358,8.65,earned a reputation,1.64,3,2,181.29,254.1,285.24,303.63,0,1,14,96
earn,smile,earn smile,100,Not found,Not found,Not found,4.5,1,2,103.53,159.95,184.24,198.92,0,1,14,85
earn,success,earn success,100,Not found,Not found,Not found,2.21,4,2,194.18,295.66,331.23,349.41,0,1,14,97
earn,trust,earn trust,100,22365,7.71,earn the trust,2.04,6,2,146.8,212.51,243.01,258.24,0,1,14,95
ease,ban,ease ban,100,Not found,Not found,Not found,2.37,5,4,108.72,169.3,203.52,222.15,0,1,9,92
ease,confusion,ease confusion,100,Not found,Not found,Not found,2.24,5,4,118.8,177.89,200.35,212.85,0,1,9,87
ease,crisis,ease crisis,100,2132,5.73,ease the crisis,2.33,2,4,139.99,213.55,249.27,271.87,0,1,9,89
ease,fear,ease fear,100,5783,7.0,ease fears,2.57,3,4,208.48,300.15,342.67,365.02,0,1,9,97
ease,load,ease load,100,2194,5.65,ease the load,3.63,9,4,139.13,209.14,235.35,251.18,0,1,9,98
ease,mind,ease mind,100,9169,6.87,ease your mind,2.5,7,4,197.15,276.78,313.43,334.55,0,1,9,98
ease,muscle,ease muscle,100,1200,5.21,ease sore muscles,4.5,5,4,91.117,146.9,175.42,195.22,0,1,9,94
ease,panic,ease panic,100,Not found,Not found,Not found,3.04,2,4,68.935,102.98,116.38,124.13,0,1,9,53
ease,throat,ease throat,100,Not found,Not found,Not found,4.97,4,4,78.256,118.6,144.46,163.8,0,1,9,82
eat,blood,eat blood,100,Not found,Not found,Not found,4.86,5,6,132.86,194.1,218.83,232.67,0,1,22,97
eat,bone,eat bone,100,Not found,Not found,Not found,4.9,3,6,113.62,182.3,215.25,233.86,0,1,22,90
eat,brain,eat brain,100,5881,5.61,eat brains,4.69,5,6,120.31,177.7,212.37,233.34,0,1,22,91
eat,butter,eat butter,100,Not found,Not found,Not found,4.9,2,6,82.231,121.23,150.89,172.76,0,1,22,81
eat,can,eat can,100,Not found,Not found,Not found,4.55,6,6,58.316,89.046,104.16,112.97,0,1,22,83
eat,crop,eat crop,100,Not found,Not found,Not found,4.24,6,6,130.57,186.59,211.43,228.77,0,1,22,94
eat,dog,eat dog,100,11233,6.22,eat dog,4.85,7,6,104.88,197.0,248.38,285.38,0,1,22,98
eat,egg,eat egg,100,20945,7.39,eat eggs,4.97,3,6,124.85,178.59,202.35,217.95,0,1,22,97
eat,fish,eat fish,100,43842,8.38,eat fish,5.0,4,6,164.99,237.0,271.35,292.14,0,1,22,98
eat,flesh,eat flesh,100,18426,7.43,eat the flesh,4.59,3,6,117.07,169.48,189.27,199.45,0,1,22,80
eat,food,eat food,100,277857,10.4,eat food,4.8,3,6,169.07,241.2,280.07,303.04,0,1,22,97
eat,habit,eat habit,100,44252,8.51,eating habits,2.76,6,6,124.43,184.5,207.67,221.79,0,1,22,85
eat,harvest,eat harvest,100,Not found,Not found,Not found,4.0,4,6,101.17,144.38,158.59,165.35,0,1,22,82
eat,load,eat load,100,Not found,Not found,Not found,3.63,9,6,139.13,209.14,235.35,251.18,0,1,22,98
eat,milk,eat milk,100,Not found,Not found,Not found,4.92,4,6,85.509,138.38,171.6,192.28,0,1,22,95
eat,pill,eat pill,100,Not found,Not found,Not found,4.72,5,6,68.926,102.91,117.35,126.85,0,1,22,86
eat,seedling,eat seedling,100,Not found,Not found,Not found,4.56,1,6,51.742,78.571,92.66,100.31,0,1,22,47
eat,skin,eat skin,100,Not found,Not found,Not found,4.79,6,6,169.4,240.84,276.4,299.07,0,1,22,97
eat,sugar,eat sugar,100,9521,6.41,eat sugar,4.87,3,6,84.472,131.97,165.27,185.99,0,1,22,94
eat,tea,eat tea,100,Not found,Not found,Not found,4.69,5,6,72.271,138.59,176.5,199.08,0,1,22,89
eat,weight,eat weight,100,Not found,Not found,Not found,3.94,8,6,136.57,203.08,229.71,245.41,0,1,22,97
eat,word,eat word,100,8557,5.01,eat my words,3.56,10,6,247.83,371.55,418.36,446.17,0,1,22,98
eateth,flesh,eateth flesh,100,445,5.99,"eateth my flesh , and drinketh",4.59,3,0,117.07,169.48,189.27,199.45,0,1,1,80
echo,silence,echo silence,100,Not found,Not found,Not found,3.33,4,3,107.25,151.56,168.73,179.07,0,1,2,76
echo,word,echo word,100,8093,5.53,words echoed,3.56,10,3,247.83,371.55,418.36,446.17,0,1,2,98
edit,document,edit document,100,15664,6.82,edit documents,4.41,4,4,158.9,245.28,277.4,295.0,0,1,10,94
edit,history,edit history,100,15651,6.67,the edit history,2.96,5,4,244.12,342.42,382.02,402.74,0,1,10,98
edit,image,edit image,100,14969,6.25,edit images,3.85,9,4,179.93,316.21,370.25,403.89,0,1,10,95
edit,log,edit log,100,Not found,Not found,Not found,4.96,5,4,107.86,149.58,163.52,170.97,0,1,10,93
edit,picture,edit picture,100,5677,5.04,edit pictures,4.52,10,4,124.67,237.09,298.33,333.94,0,1,10,97
edit,resume,edit resume,100,Not found,Not found,Not found,4.0,2,4,27.161,37.773,42.021,44.429,0,1,10,88
edit,scene,edit scene,100,Not found,Not found,Not found,3.93,10,4,236.31,326.09,358.85,376.01,0,1,10,95
edit,sentence,edit sentence,100,Not found,Not found,Not found,3.57,3,4,120.5,167.75,185.71,195.53,0,1,10,99
edit,signature,edit signature,100,Not found,Not found,Not found,4.43,5,4,112.21,162.69,182.27,192.44,0,1,10,94
edit,window,edit window,100,10694,6.46,edit window,4.86,8,4,140.8,244.66,291.16,317.16,0,1,10,95
educate,child,educate child,100,62785,7.94,educate children,4.78,4,3,201.04,295.22,346.37,384.22,0,1,3,97
educate,mind,educate mind,100,3119,5.07,educated mind,2.5,7,3,197.15,276.78,313.43,334.55,0,1,3,98
educate,voter,educate voter,100,4070,6.56,educate voters,3.93,1,3,113.27,163.03,184.22,197.0,0,1,3,88
effect,change,effect change,100,42413,7.62,effect change,2.89,10,2,169.83,260.43,300.98,324.77,0,1,1,97
eke,living,eke living,100,419,4.55,to eke a living,3.04,4,0,118.05,167.4,183.13,190.2,0,1,1,68
elapse,time,elapse time,100,31790,5.42,elapsed time,3.07,10,1,273.83,408.51,469.17,512.74,0,1,1,95
elect,board,elect board,100,12473,7.07,elected board,4.57,9,2,187.08,278.44,317.8,338.2,0,1,4,93
elect,officer,elect officer,100,24666,7.94,elected officers,4.8,4,2,200.25,288.09,326.95,352.01,0,1,4,91
elect,position,elect position,100,8269,5.61,elected position,2.62,16,2,229.38,325.34,362.4,380.34,0,1,4,96
elect,winner,elect winner,100,Not found,Not found,Not found,3.21,3,2,161.86,268.28,315.83,341.99,0,1,4,92
electrify,vehicle,electrify vehicle,100,4272,6.0,electrified vehicles,4.64,4,3,135.77,243.43,288.48,318.05,0,1,1,95
elevate,hip,elevate hip,100,Not found,Not found,Not found,4.21,5,3,90.411,129.73,157.16,172.63,0,1,3,91
elevate,leg,elevate leg,100,1728,5.32,elevate your legs,4.83,9,3,134.48,212.33,256.38,294.07,0,1,3,97
elevate,risk,elevate risk,100,3551,4.72,elevate the risk,1.63,4,3,160.87,238.64,275.56,297.22,0,1,3,93
elicit,smile,elicit smile,100,1155,5.71,elicit a smile,4.5,1,3,103.53,159.95,184.24,198.92,0,1,2,85
elicit,yawn,elicit yawn,100,Not found,Not found,Not found,4.46,1,3,18.722,27.298,31.233,33.744,0,1,2,8
eliminate,abuse,eliminate abuse,100,Not found,Not found,Not found,2.71,3,7,95.851,150.62,181.18,201.53,0,1,28,92
eliminate,ban,eliminate ban,100,Not found,Not found,Not found,2.37,5,7,108.72,169.3,203.52,222.15,0,1,28,92
eliminate,breath,eliminate breath,100,Not found,Not found,Not found,4.36,5,7,72.307,105.92,123.28,131.92,0,1,28,85
eliminate,chance,eliminate chance,100,7064,5.29,eliminate the chance,1.64,5,7,145.16,211.81,236.5,250.46,0,1,28,97
eliminate,competition,eliminate competition,100,7389,6.33,eliminate competition,3.86,4,7,146.29,235.72,281.35,307.68,0,1,28,90
eliminate,confusion,eliminate confusion,100,5638,6.37,eliminate confusion,2.24,5,7,118.8,177.89,200.35,212.85,0,1,28,87
eliminate,debt,eliminate debt,100,6656,6.37,eliminate debt,2.72,3,7,95.713,138.45,158.61,175.87,0,1,28,88
eliminate,disease,eliminate disease,100,6013,5.9,eliminate the disease,3.45,1,7,102.9,195.33,244.79,273.82,0,1,28,93
eliminate,dissent,eliminate dissent,100,Not found,Not found,Not found,2.17,3,7,65.304,91.841,101.36,107.56,0,1,28,45
eliminate,doubt,eliminate doubt,100,Not found,Not found,Not found,1.79,2,7,158.05,239.27,270.23,288.3,0,1,28,88
eliminate,ego,eliminate ego,100,Not found,Not found,Not found,1.74,3,7,71.854,105.1,119.65,127.07,0,1,28,72
eliminate,enemy,eliminate enemy,100,3697,5.42,eliminate enemies,2.83,4,7,148.22,227.71,259.5,276.9,0,1,28,96
eliminate,expense,eliminate expense,100,Not found,Not found,Not found,2.57,3,7,166.21,247.22,277.52,295.84,0,1,28,87
eliminate,fear,eliminate fear,100,3140,5.18,eliminate the fear,2.57,3,7,208.48,300.15,342.67,365.02,0,1,28,97
eliminate,food,eliminate food,100,5745,5.15,eliminating foods,4.8,3,7,169.07,241.2,280.07,303.04,0,1,28,97
eliminate,habit,eliminate habit,100,Not found,Not found,Not found,2.76,6,7,124.43,184.5,207.67,221.79,0,1,28,85
eliminate,hate,eliminate hate,100,Not found,Not found,Not found,1.97,1,7,60.282,84.845,95.871,102.6,0,1,28,58
eliminate,hint,eliminate hint,100,Not found,Not found,Not found,2.33,5,7,145.16,208.15,236.51,250.97,0,1,28,89
eliminate,position,eliminate position,100,8215,5.55,position was eliminated,2.62,16,7,229.38,325.34,362.4,380.34,0,1,28,96
eliminate,potential,eliminate potential,100,2949,4.72,eliminate the potential for,1.91,2,7,154.16,221.87,249.35,265.29,0,1,28,97
eliminate,racism,eliminate racism,100,2667,5.42,to eliminate racism,2.36,2,7,94.579,134.49,155.54,172.51,0,1,28,86
eliminate,risk,eliminate risk,100,27327,7.25,eliminate the risk,1.63,4,7,160.87,238.64,275.56,297.22,0,1,28,93
eliminate,spending,eliminate spending,100,Not found,Not found,Not found,3.31,2,7,78.229,122.43,144.17,157.7,0,1,28,91
eliminate,sugar,eliminate sugar,100,Not found,Not found,Not found,4.87,3,7,84.472,131.97,165.27,185.99,0,1,28,94
eliminate,target,eliminate target,100,Not found,Not found,Not found,4.11,5,7,165.15,233.33,258.47,270.78,0,1,28,95
eliminate,tax,eliminate tax,100,10551,6.59,eliminate taxes,3.89,1,7,84.254,125.94,147.02,164.68,0,1,28,91
eliminate,terror,eliminate terror,100,Not found,Not found,Not found,2.43,4,7,89.753,127.38,141.12,150.15,0,1,28,78
